dpca_dim,Z1,Z2,psnr,method,seed
8,7,1.0,16.35,NDPCA (ours),0
8,7,1.0,16.43,DAE,0
8,7,1.0,16.69,JAE,0
8,7,1.0,16.3,Task-agnostic NDPCA,0
8,7,1.0,23.2,Uncompressed,0
8,7,1.0,16.35,NDPCA (ours),1
8,7,1.0,16.46,DAE,1
8,7,1.0,16.67,JAE,1
8,7,1.0,16.29,Task-agnostic NDPCA,1
8,7,1.0,23.2,Uncompressed,1
8,7,1.0,16.35,NDPCA (ours),2
8,7,1.0,16.44,DAE,2
8,7,1.0,16.7,JAE,2
8,7,1.0,16.11,Task-agnostic NDPCA,2
8,7,1.0,23.2,Uncompressed,2
8,7,1.0,16.35,NDPCA (ours),3
8,7,1.0,16.42,DAE,3
8,7,1.0,16.69,JAE,3
8,7,1.0,15.98,Task-agnostic NDPCA,3
8,7,1.0,23.2,Uncompressed,3
16,13,3.0,17.74,NDPCA (ours),0
16,13,3.0,17.44,DAE,0
16,13,3.0,18.04,JAE,0
16,13,3.0,17.58,Task-agnostic NDPCA,0
16,13,3.0,23.2,Uncompressed,0
16,13,3.0,17.74,NDPCA (ours),1
16,13,3.0,17.54,DAE,1
16,13,3.0,18.04,JAE,1
16,13,3.0,17.61,Task-agnostic NDPCA,1
16,13,3.0,23.2,Uncompressed,1
16,13,3.0,17.75,NDPCA (ours),2
16,13,3.0,17.44,DAE,2
16,13,3.0,17.92,JAE,2
16,13,3.0,17.38,Task-agnostic NDPCA,2
16,13,3.0,23.2,Uncompressed,2
16,13,3.0,17.75,NDPCA (ours),3
16,13,3.0,17.52,DAE,3
16,13,3.0,17.98,JAE,3
16,13,3.0,17.33,Task-agnostic NDPCA,3
16,13,3.0,23.2,Uncompressed,3
32,26,6.0,19.39,NDPCA (ours),0
32,26,6.0,18.63,DAE,0
32,26,6.0,19.4,JAE,0
32,26,6.0,18.36,Task-agnostic NDPCA,0
32,26,6.0,23.2,Uncompressed,0
32,26,6.0,19.4,NDPCA (ours),1
32,26,6.0,18.66,DAE,1
32,26,6.0,19.44,JAE,1
32,26,6.0,18.43,Task-agnostic NDPCA,1
32,26,6.0,23.2,Uncompressed,1
32,26,6.0,19.4,NDPCA (ours),2
32,26,6.0,18.63,DAE,2
32,26,6.0,19.45,JAE,2
32,26,6.0,18.13,Task-agnostic NDPCA,2
32,26,6.0,23.2,Uncompressed,2
32,26,6.0,19.41,NDPCA (ours),3
32,26,6.0,18.68,DAE,3
32,26,6.0,19.46,JAE,3
32,26,6.0,18.17,Task-agnostic NDPCA,3
32,26,6.0,23.2,Uncompressed,3
48,39,9.0,20.3,NDPCA (ours),0
48,39,9.0,19.41,DAE,0
48,39,9.0,20.48,JAE,0
48,39,9.0,18.72,Task-agnostic NDPCA,0
48,39,9.0,23.2,Uncompressed,0
48,39,9.0,20.48,NDPCA (ours),1
48,39,9.0,19.35,DAE,1
48,39,9.0,20.51,JAE,1
48,39,9.0,18.77,Task-agnostic NDPCA,1
48,39,9.0,23.2,Uncompressed,1
48,39,9.0,20.38,NDPCA (ours),2
48,39,9.0,19.39,DAE,2
48,39,9.0,20.45,JAE,2
48,39,9.0,18.39,Task-agnostic NDPCA,2
48,39,9.0,23.2,Uncompressed,2
48,39,9.0,20.49,NDPCA (ours),3
48,39,9.0,19.4,DAE,3
48,39,9.0,20.48,JAE,3
48,39,9.0,18.26,Task-agnostic NDPCA,3
48,39,9.0,23.2,Uncompressed,3
64,52,12.0,21.05,NDPCA (ours),0
64,52,12.0,19.97,DAE,0
64,52,12.0,21.21,JAE,0
64,52,12.0,19.0,Task-agnostic NDPCA,0
64,52,12.0,23.2,Uncompressed,0
64,52,12.0,21.15,NDPCA (ours),1
64,52,12.0,19.98,DAE,1
64,52,12.0,21.13,JAE,1
64,52,12.0,18.98,Task-agnostic NDPCA,1
64,52,12.0,23.2,Uncompressed,1
64,52,12.0,21.06,NDPCA (ours),2
64,52,12.0,19.94,DAE,2
64,52,12.0,21.21,JAE,2
64,52,12.0,18.89,Task-agnostic NDPCA,2
64,52,12.0,23.2,Uncompressed,2
64,52,12.0,21.19,NDPCA (ours),3
64,52,12.0,19.87,DAE,3
64,52,12.0,21.07,JAE,3
64,52,12.0,18.77,Task-agnostic NDPCA,3
64,52,12.0,23.2,Uncompressed,3
