dpca_dim,success rate,dim of z1 private,dim of z2 private,dim of z1 share,seed,method
48,0.91,17,31,0,0,NDPCA (ours)
44,0.84,16,28,0,0,NDPCA (ours)
40,0.85,15,25,0,0,NDPCA (ours)
36,0.74,13,23,0,0,NDPCA (ours)
32,0.8,11,21,0,0,NDPCA (ours)
28,0.8,10,18,0,0,NDPCA (ours)
24,0.86,10,14,0,0,NDPCA (ours)
20,0.88,8,12,0,0,NDPCA (ours)
16,0.83,6,10,0,0,NDPCA (ours)
12,0.78,5,7,0,0,NDPCA (ours)
8,0.74,3,5,0,0,NDPCA (ours)
4,0.07,2,2,0,0,NDPCA (ours)
48,0.82,17,31,0,1,NDPCA (ours)
44,0.73,15,29,0,1,NDPCA (ours)
40,0.79,14,26,0,1,NDPCA (ours)
36,0.8,13,23,0,1,NDPCA (ours)
32,0.85,11,21,0,1,NDPCA (ours)
28,0.77,10,18,0,1,NDPCA (ours)
24,0.81,9,15,0,1,NDPCA (ours)
20,0.86,7,13,0,1,NDPCA (ours)
16,0.82,6,10,0,1,NDPCA (ours)
12,0.91,5,7,0,1,NDPCA (ours)
8,0.81,3,5,0,1,NDPCA (ours)
4,0.01,2,2,0,1,NDPCA (ours)
24,0.8,7,17,0,2,NDPCA (ours)
20,0.78,6,14,0,2,NDPCA (ours)
16,0.85,5,11,0,2,NDPCA (ours)
12,0.78,4,8,0,2,NDPCA (ours)
8,0.73,3,5,0,2,NDPCA (ours)
4,0.02,1,3,0,2,NDPCA (ours)
24,0.83,9,15,0,3,NDPCA (ours)
20,0.77,8,12,0,3,NDPCA (ours)
16,0.81,6,10,0,3,NDPCA (ours)
12,0.82,5,7,0,3,NDPCA (ours)
8,0.69,3,5,0,3,NDPCA (ours)
4,0.17,1,3,0,3,NDPCA (ours)
24,0.71,7,17,0,5,NDPCA (ours)
20,0.73,7,13,0,5,NDPCA (ours)
16,0.75,5,11,0,5,NDPCA (ours)
12,0.73,4,8,0,5,NDPCA (ours)
8,0.69,3,5,0,5,NDPCA (ours)
4,0.03,1,3,0,5,NDPCA (ours)
48,0.77,24,24,0,0,No NDPCA
44,0.86,20,24,0,0,No NDPCA
40,0.78,16,24,0,0,No NDPCA
36,0.84,13,23,0,0,No NDPCA
32,0.86,13,19,0,0,No NDPCA
28,0.83,11,17,0,0,No NDPCA
24,0.78,10,14,0,0,No NDPCA
20,0.82,8,12,0,0,No NDPCA
16,0.87,6,10,0,0,No NDPCA
12,0.79,5,7,0,0,No NDPCA
8,0.63,3,5,0,0,No NDPCA
4,0.01,2,2,0,0,No NDPCA
48,0.85,24,24,0,1,No NDPCA
44,0.84,20,24,0,1,No NDPCA
40,0.83,16,24,0,1,No NDPCA
36,0.86,14,22,0,1,No NDPCA
32,0.82,12,20,0,1,No NDPCA
28,0.87,11,17,0,1,No NDPCA
24,0.84,9,15,0,1,No NDPCA
20,0.91,8,12,0,1,No NDPCA
16,0.85,6,10,0,1,No NDPCA
12,0.91,5,7,0,1,No NDPCA
8,0.48,4,4,0,1,No NDPCA
4,0.0,2,2,0,1,No NDPCA
48,0.26,14,34,0,0,Task-agnostic NDPCA
44,0.29,13,31,0,0,Task-agnostic NDPCA
40,0.28,12,28,0,0,Task-agnostic NDPCA
36,0.23,10,26,0,0,Task-agnostic NDPCA
32,0.31,9,23,0,0,Task-agnostic NDPCA
28,0.31,8,20,0,0,Task-agnostic NDPCA
24,0.31,7,17,0,0,Task-agnostic NDPCA
20,0.3,7,13,0,0,Task-agnostic NDPCA
16,0.24,6,10,0,0,Task-agnostic NDPCA
12,0.23,4,8,0,0,Task-agnostic NDPCA
8,0.29,2,6,0,0,Task-agnostic NDPCA
4,0.06,0,4,0,0,Task-agnostic NDPCA
48,0.18,16,32,0,1,Task-agnostic NDPCA
44,0.14,14,30,0,1,Task-agnostic NDPCA
40,0.2,13,27,0,1,Task-agnostic NDPCA
36,0.18,12,24,0,1,Task-agnostic NDPCA
32,0.12,10,22,0,1,Task-agnostic NDPCA
28,0.19,8,20,0,1,Task-agnostic NDPCA
24,0.17,7,17,0,1,Task-agnostic NDPCA
20,0.17,6,14,0,1,Task-agnostic NDPCA
16,0.2,5,11,0,1,Task-agnostic NDPCA
12,0.23,4,8,0,1,Task-agnostic NDPCA
8,0.16,2,6,0,1,Task-agnostic NDPCA
4,0.03,0,4,0,1,Task-agnostic NDPCA
48,0.14,15,33,0,2,Task-agnostic NDPCA
44,0.21,14,30,0,2,Task-agnostic NDPCA
40,0.23,12,28,0,2,Task-agnostic NDPCA
36,0.2,10,26,0,2,Task-agnostic NDPCA
32,0.21,9,23,0,2,Task-agnostic NDPCA
28,0.24,8,20,0,2,Task-agnostic NDPCA
24,0.26,7,17,0,2,Task-agnostic NDPCA
20,0.14,6,14,0,2,Task-agnostic NDPCA
16,0.22,5,11,0,2,Task-agnostic NDPCA
12,0.14,4,8,0,2,Task-agnostic NDPCA
8,0.18,2,6,0,2,Task-agnostic NDPCA
4,0.09,0,4,0,2,Task-agnostic NDPCA
24,0.21,8,16,0,3,Task-agnostic NDPCA
20,0.22,7,13,0,3,Task-agnostic NDPCA
16,0.2,6,10,0,3,Task-agnostic NDPCA
12,0.22,4,8,0,3,Task-agnostic NDPCA
8,0.25,2,6,0,3,Task-agnostic NDPCA
4,0.03,0,4,0,3,Task-agnostic NDPCA
24,0.27,7,17,0,4,Task-agnostic NDPCA
20,0.34,6,14,0,4,Task-agnostic NDPCA
16,0.26,5,11,0,4,Task-agnostic NDPCA
12,0.24,4,8,0,4,Task-agnostic NDPCA
8,0.32,2,6,0,4,Task-agnostic NDPCA
4,0.09,0,4,0,4,Task-agnostic NDPCA
